local RyR count,FWHM (microns),F/F0,r^2,spark mass(AU)
5.00000,1.91100,0.350000,0.709000,2.94600
0.000000,1.20200,0.127000,0.552000,0.266000
0.000000,1.61600,0.516000,0.761000,2.62700
0.000000,1.25900,0.0790000,0.512000,0.191000
0.000000,1.65800,0.308000,0.833000,1.69000
8.00000,3.18900,0.139000,0.703000,5.44400
7.00000,3.59500,0.227000,0.900000,12.7340
29.0000,3.77000,0.860000,0.822000,55.5770
0.000000,1.24800,0.305000,0.837000,0.715000
16.0000,4.82000,0.404000,0.838000,54.5900
11.0000,2.63600,0.999000,0.943000,22.0860
1.00000,2.94200,0.251000,0.716000,7.71200
0.000000,1.25800,1.44000,0.912000,3.46100
0.000000,1.72700,0.226000,0.599000,1.40700
0.000000,4.42700,0.562000,0.752000,58.8700
0.000000,1.07200,1.08300,0.949000,1.60800
6.00000,3.60600,0.0950000,0.730000,5.36800
0.000000,4.19700,0.369000,0.820000,32.9220
2.00000,2.52400,0.0830000,0.768000,1.60800
4.00000,2.90400,0.0890000,0.609000,2.62100
3.00000,1.37700,0.130000,0.852000,0.408000
10.0000,3.38800,0.103000,0.731000,4.83600
5.00000,4.31200,0.0520000,0.564000,5.04400
0.000000,1.12900,0.196000,0.839000,0.340000
1.00000,3.35600,0.250000,0.846000,11.4070
13.0000,5.22500,0.0450000,0.579000,7.75400
7.00000,1.60100,0.188000,0.668000,0.930000
0.000000,1.72300,4.94600,0.726000,30.5130
0.000000,1.47000,0.290000,0.767000,1.10900
1.00000,1.02800,5.49200,0.856000,7.20300
26.0000,4.63600,4.42600,0.531000,531.919
1.00000,1.27500,3.49000,0.573000,8.72100
0.000000,1.87200,2.49900,0.612000,19.7870
18.0000,4.05800,0.0440000,0.573000,3.58200
0.000000,1.68500,0.682000,0.930000,3.93800
2.00000,1.25500,0.0520000,0.570000,0.123000
1.00000,2.43900,Inf,0.957000,Inf
0.000000,1.24100,2.67700,0.880000,6.17500
0.000000,1.30000,0.104000,0.624000,0.274000
0.000000,3.91000,0.480000,0.964000,34.5880
8.00000,2.63100,0.286000,0.861000,6.28200
12.0000,3.24800,0.176000,0.806000,7.25600
12.0000,5.21300,0.0530000,0.685000,9.04600
2.00000,2.40400,0.0950000,0.780000,1.59000
8.00000,3.99500,0.0410000,0.506000,3.12200
0.000000,1.90400,0.625000,0.881000,5.20400
16.0000,4.11900,0.0780000,0.667000,6.58200
0.000000,1.09500,4.37600,0.643000,6.93100
16.0000,4.18200,0.0520000,0.596000,4.58400
1.00000,1.43900,0.314000,0.853000,1.12800
27.0000,5.79500,0.0700000,0.638000,16.4800
0.000000,1.59200,0.0570000,0.537000,0.280000
0.000000,3.38700,0.145000,0.907000,6.79300
0.000000,1.61800,5.08200,0.753000,25.9570
4.00000,2.26200,0.0890000,0.694000,1.23800
10.0000,1.13500,0.260000,0.662000,0.457000
23.0000,4.33900,0.0810000,0.645000,7.96700
0.000000,2.46900,0.0780000,0.535000,1.42100
25.0000,4.14000,0.500000,0.829000,42.7950
2.00000,2.39600,0.117000,0.831000,1.94100
8.00000,2.62400,0.0780000,0.742000,1.69900
2.00000,2.37700,0.0600000,0.658000,0.978000
0.000000,3.42400,0.0910000,0.548000,4.42800
17.0000,4.72700,0.238000,0.842000,30.3090
0.000000,1.47700,0.0800000,0.616000,0.312000
0.000000,1.06400,0.0610000,0.531000,0.0880000
10.0000,4.51700,-0.0600000,0.592000,-6.61300
0.000000,1.24000,0.0870000,0.605000,0.201000
30.0000,3.18500,0.184000,0.644000,7.18700
0.000000,1.76600,4.52200,0.698000,30.0370
15.0000,5.27700,0.0560000,0.689000,9.99700
1.00000,1.39700,0.0510000,0.527000,0.169000
2.00000,2.20700,0.512000,0.735000,6.64600
0.000000,1.79300,0.0710000,0.643000,0.491000
3.00000,4.16100,0.0620000,0.548000,5.36000
0.000000,1.33200,0.0870000,0.674000,0.249000
12.0000,5.84300,0.0620000,0.533000,14.9670
17.0000,3.55800,0.0630000,0.668000,3.41200
6.00000,2.32100,35.0120,0.769000,527.727
0.000000,2.10400,0.154000,0.527000,1.72700
37.0000,5.49100,0.200000,0.584000,39.9140
6.00000,4.04500,0.452000,0.892000,36.0480
0.000000,1.29800,0.661000,0.833000,1.74300
27.0000,3.35900,0.522000,0.886000,23.8650
0.000000,2.20900,0.0810000,0.532000,1.05600
6.00000,2.29000,0.520000,0.875000,7.53300
0.000000,1.33100,0.0920000,0.618000,0.261000
0.000000,3.43300,0.261000,0.904000,12.7540
11.0000,3.69600,0.0630000,0.502000,3.85900
7.00000,3.54800,0.0740000,0.768000,3.97500
0.000000,1.67700,0.416000,0.837000,2.36700
0.000000,1.23600,0.0610000,0.504000,0.139000
11.0000,4.00500,0.0700000,0.745000,5.41200
16.0000,4.15000,0.0450000,0.600000,3.89200
0.000000,1.78200,5.43200,0.724000,37.0650
10.0000,5.08000,0.0570000,0.668000,9.01700
0.000000,3.22300,0.0970000,0.756000,3.90300
16.0000,4.99900,0.0510000,0.597000,7.66000
0.000000,1.60900,0.367000,0.830000,1.84100
27.0000,4.57200,0.197000,0.770000,22.6940
0.000000,3.26200,0.0620000,0.576000,2.60600
8.00000,3.41800,0.280000,0.925000,13.4700
14.0000,4.63100,0.179000,0.682000,21.3980
1.00000,1.44300,0.0780000,0.625000,0.285000
0.000000,1.20300,0.122000,0.692000,0.257000
1.00000,2.21500,0.0580000,0.535000,0.760000
0.000000,2.95300,0.0610000,0.679000,1.88800
9.00000,4.25900,0.112000,0.620000,10.4320
27.0000,4.90800,0.0640000,0.728000,9.17700
0.000000,2.72900,0.102000,0.684000,2.50600
1.00000,1.14600,0.842000,0.895000,1.52900
0.000000,1.37000,0.0840000,0.763000,0.261000
8.00000,5.47700,0.161000,0.840000,31.8210
23.0000,5.65200,0.0490000,0.603000,10.5760
0.000000,3.44100,0.0810000,0.555000,3.98200
4.00000,2.83000,0.0870000,0.756000,2.37600
16.0000,3.91300,0.0760000,0.767000,5.45600
1.00000,5.30200,0.241000,0.817000,43.2560
12.0000,5.51700,0.209000,0.817000,42.3000
1.00000,1.30900,0.128000,0.765000,0.347000
0.000000,4.92900,0.135000,0.804000,19.4440
4.00000,1.81400,0.0680000,0.523000,0.487000
3.00000,1.45400,0.307000,0.765000,1.13800
0.000000,1.19600,-0.121000,0.530000,-0.250000
2.00000,3.52500,-0.187000,0.593000,-9.86600
2.00000,2.62600,0.0460000,0.579000,0.995000
1.00000,1.96300,0.260000,0.845000,2.36800
0.000000,1.48900,0.0630000,0.588000,0.251000
42.0000,5.32300,0.0650000,0.517000,11.7590
2.00000,2.64300,0.0580000,0.533000,1.29000
0.000000,2.01700,0.164000,0.738000,1.62400
8.00000,4.14300,0.115000,0.811000,9.82500
23.0000,4.41500,0.226000,0.584000,23.4120
2.00000,1.94000,0.0610000,0.646000,0.537000
18.0000,1.58100,0.414000,0.823000,1.97300
1.00000,2.50900,0.0910000,0.832000,1.72800
0.000000,1.98700,6.67000,0.591000,63.1340
12.0000,4.74100,-0.0670000,0.581000,-8.60200
10.0000,4.54300,0.118000,0.654000,13.3210
7.00000,3.02800,0.0480000,0.517000,1.61500
8.00000,3.59000,0.102000,0.630000,5.70600
5.00000,3.89800,0.0680000,0.705000,4.82600
16.0000,5.04700,0.0570000,0.644000,8.81400
1.00000,1.23200,4.99900,0.545000,11.2670
2.00000,2.34700,0.0930000,0.743000,1.44200
16.0000,4.85300,0.276000,0.972000,38.0270
7.00000,4.59300,0.0570000,0.568000,6.61100
0.000000,1.24400,0.191000,0.844000,0.444000
0.000000,4.22100,0.311000,0.851000,28.1790
4.00000,3.06400,0.514000,0.916000,17.8160
2.00000,4.04500,0.408000,0.735000,32.5540
15.0000,2.56700,0.114000,0.864000,2.31800
15.0000,5.41400,-0.146000,0.723000,-27.8650
0.000000,2.00100,0.187000,0.778000,1.80700
0.000000,1.93300,0.187000,0.908000,1.62700
4.00000,3.05700,0.0630000,0.612000,2.17000
11.0000,1.16100,0.502000,0.853000,0.948000
13.0000,4.68000,0.0720000,0.691000,8.85500
10.0000,3.20500,0.0610000,0.570000,2.41500
10.0000,1.34600,0.306000,0.762000,0.900000
0.000000,1.48500,-0.104000,0.720000,-0.410000
9.00000,4.69900,0.0620000,0.592000,7.79600
